Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human Whole-genome alignment coverage	Human orthology confidence [0 low, 1 high]
ENSMMUG00000054457					
ENSMMUG00000055264					
ENSMMUG00000061142		ENSG00000226660	TRBV2	100.00	1
ENSMMUG00000059592	Metazoa_SRP				
ENSMMUG00000052244					
ENSMMUG00000011049	LRRC1	ENSG00000137269	LRRC1	100.00	1
ENSMMUG00000008383	MFSD10	ENSG00000109736	MFSD10	100.00	1
ENSMMUG00000000243	CFHR5	ENSG00000134389	CFHR5	100.00	1
ENSMMUG00000051589					
ENSMMUG00000036099	U6	ENSG00000252503	RNU6-531P	100.00	1
ENSMMUG00000058179					
ENSMMUG00000001553	NDUFV3	ENSG00000160194	NDUFV3	100.00	1
ENSMMUG00000018617	ARF4	ENSG00000168374	ARF4	100.00	1
ENSMMUG00000052640					
ENSMMUG00000020332		ENSG00000211710	TRBV4-1	0.00	0
ENSMMUG00000060914	TMPRSS11B	ENSG00000185873	TMPRSS11B	100.00	1
ENSMMUG00000064187	Metazoa_SRP				
ENSMMUG00000054681					
ENSMMUG00000037061		ENSG00000252228		100.00	1
ENSMMUG00000009183	SMURF1	ENSG00000198742	SMURF1	100.00	1
ENSMMUG00000051029					
ENSMMUG00000058823	Metazoa_SRP				
ENSMMUG00000053877					
ENSMMUG00000060238		ENSG00000226660	TRBV2	78.33	1
ENSMMUG00000052630	Metazoa_SRP				
ENSMMUG00000003864	VPS52	ENSG00000223501	VPS52	100.00	1
ENSMMUG00000049629		ENSG00000226660	TRBV2	0.00	0
ENSMMUG00000012125		ENSG00000204616	TRIM31	100.00	0
ENSMMUG00000000416	OOEP	ENSG00000203907	OOEP	100.00	1
ENSMMUG00000041520	Metazoa_SRP	ENSG00000242175	RN7SL127P	100.00	1
ENSMMUG00000058982					
ENSMMUG00000033802					
ENSMMUG00000063419					
ENSMMUG00000050567					
ENSMMUG00000063185		ENSG00000211710	TRBV4-1	85.59	0
ENSMMUG00000027387					
ENSMMUG00000030046	FNIP2	ENSG00000052795	FNIP2	100.00	1
ENSMMUG00000062278					
ENSMMUG00000023196	STK31	ENSG00000196335	STK31	100.00	1
ENSMMUG00000062729	WDR4	ENSG00000160193	WDR4	100.00	1
ENSMMUG00000049867					
ENSMMUG00000055050					
ENSMMUG00000006786	PTPN22	ENSG00000134242	PTPN22	100.00	1
ENSMMUG00000062264					
ENSMMUG00000052248	TRBV5-1	ENSG00000211734	TRBV5-1	100.00	1
ENSMMUG00000050557	U6	ENSG00000207076	RNU6-1113P	100.00	1
ENSMMUG00000063867	Metazoa_SRP				
ENSMMUG00000000244	F13B	ENSG00000143278	F13B	100.00	1
ENSMMUG00000052171	Y_RNA				
ENSMMUG00000053469					
ENSMMUG00000056497					
ENSMMUG00000006702	BMPR1B	ENSG00000138696	BMPR1B	100.00	1
ENSMMUG00000045349	TRBV6-1	ENSG00000211706	TRBV6-1	100.00	1
ENSMMUG00000027268	mml-mir-551a				
ENSMMUG00000062221					
ENSMMUG00000010084	KHDC3L	ENSG00000203908	KHDC3L	100.00	1
ENSMMUG00000062085		ENSG00000211745	TRBV4-2	87.64	0
ENSMMUG00000012124	RNF39	ENSG00000204618	RNF39	100.00	1
ENSMMUG00000010419	RAB19	ENSG00000146955	RAB19	100.00	1
ENSMMUG00000050780	Metazoa_SRP				
ENSMMUG00000062054	DLK2	ENSG00000171462	DLK2	100.00	1
ENSMMUG00000005660	QRICH1	ENSG00000198218	QRICH1	100.00	1
ENSMMUG00000018619	DENND6A	ENSG00000174839	DENND6A	100.00	1
ENSMMUG00000055791					
ENSMMUG00000009354	ARHGEF16	ENSG00000130762	ARHGEF16	100.00	1
ENSMMUG00000060268	IRAK1BP1	ENSG00000146243	IRAK1BP1	100.00	1
ENSMMUG00000054915					
ENSMMUG00000008385	NOP14	ENSG00000087269	NOP14	100.00	1
ENSMMUG00000065289	DPPA5	ENSG00000203909	DPPA5	100.00	1
ENSMMUG00000016130	PTBP2	ENSG00000117569	PTBP2	100.00	1
ENSMMUG00000049238	Metazoa_SRP	ENSG00000241461	RN7SL182P	100.00	1
ENSMMUG00000062231					
ENSMMUG00000041326	Metazoa_SRP	ENSG00000240723	RN7SL382P	100.00	1
ENSMMUG00000012122	PPP1R11	ENSG00000204619	PPP1R11	100.00	1
ENSMMUG00000059836	Metazoa_SRP	ENSG00000276396	Metazoa_SRP	100.00	1
ENSMMUG00000057691					
ENSMMUG00000053543					
ENSMMUG00000064914					
ENSMMUG00000061178					
ENSMMUG00000049814	Metazoa_SRP				
ENSMMUG00000034851	U6	ENSG00000223306	RNU6-1304P	100.00	1
ENSMMUG00000056515					
ENSMMUG00000064566					
ENSMMUG00000060515					
ENSMMUG00000052928	Metazoa_SRP	ENSG00000265170	RN7SL667P	0.00	0
ENSMMUG00000022218	ANXA3	ENSG00000138772	ANXA3	100.00	1
ENSMMUG00000015733	SORBS2	ENSG00000154556	SORBS2	100.00	1
ENSMMUG00000049161	Metazoa_SRP	ENSG00000265892	RN7SL311P	100.00	1
ENSMMUG00000059452					
ENSMMUG00000025079	Y_RNA	ENSG00000207384	Y_RNA	100.00	1
ENSMMUG00000057736					
ENSMMUG00000023194	FAM221A	ENSG00000188732	FAM221A	100.00	1
ENSMMUG00000011567	ZNF318	ENSG00000171467	ZNF318	100.00	1
ENSMMUG00000000134	SRP9	ENSG00000143742	SRP9	100.00	1
ENSMMUG00000050601					
ENSMMUG00000012120	POLR1H	ENSG00000066379	POLR1H	100.00	1
ENSMMUG00000010420	MKRN1	ENSG00000133606	MKRN1	96.62	1
ENSMMUG00000056100					
ENSMMUG00000000245	ASPM	ENSG00000066279	ASPM	100.00	1
ENSMMUG00000051902					
ENSMMUG00000005328	MEI4	ENSG00000269964	MEI4	100.00	1
ENSMMUG00000049575	TRBV7-2	ENSG00000282939	TRBV7-2	100.00	1
ENSMMUG00000024316	U6	ENSG00000206722	RNU6-1074P	100.00	1
ENSMMUG00000016660	TRIML1	ENSG00000184108	TRIML1	100.00	1
ENSMMUG00000009350	PRDM16	ENSG00000142611	PRDM16	100.00	1
ENSMMUG00000051247	KHDC1	ENSG00000135314	KHDC1	100.00	1
ENSMMUG00000059654	TRBV7-3	ENSG00000211714	TRBV7-3	100.00	1
ENSMMUG00000004196	MGARP	ENSG00000137463	MGARP	100.00	1
ENSMMUG00000044533	ELN	ENSG00000049540	ELN	100.00	1
ENSMMUG00000057119					
ENSMMUG00000005675	UBR2	ENSG00000024048	UBR2	100.00	1
ENSMMUG00000034574	U6	ENSG00000207124	RNU6-163P	100.00	1
ENSMMUG00000025882	U6	ENSG00000200455	RNU6-1112P	100.00	1
ENSMMUG00000052410					
ENSMMUG00000055170					
ENSMMUG00000039193	TRBV9	ENSG00000211716	TRBV9	100.00	1
ENSMMUG00000061515	Metazoa_SRP				
ENSMMUG00000025863		ENSG00000201863		100.00	1
ENSMMUG00000052069	Metazoa_SRP				
ENSMMUG00000002943	QARS1	ENSG00000172053	QARS1	100.00	1
ENSMMUG00000055272					
ENSMMUG00000059826	Metazoa_SRP				
ENSMMUG00000047473	TRBV10-1	ENSG00000211717	TRBV10-1	100.00	1
ENSMMUG00000015717	HTR1B	ENSG00000135312	HTR1B	100.00	1
ENSMMUG00000044078	Metazoa_SRP				
ENSMMUG00000062169	TRBV11-1	ENSG00000211720	TRBV11-1	100.00	1
ENSMMUG00000036275	U7	ENSG00000238446	RNU7-38P	100.00	1
ENSMMUG00000056544					
ENSMMUG00000060842					
ENSMMUG00000014987	CCDC126	ENSG00000169193	CCDC126	100.00	1
ENSMMUG00000053146					
ENSMMUG00000022942	CRIP3	ENSG00000146215	CRIP3	100.00	1
ENSMMUG00000061782	U6	ENSG00000206703	RNU6-128P	100.00	1
ENSMMUG00000064624					
ENSMMUG00000062897					
ENSMMUG00000062470					
ENSMMUG00000063527	Metazoa_SRP				
ENSMMUG00000056756					
ENSMMUG00000057123					
ENSMMUG00000012019		ENSG00000005075	POLR2J	100.00	1
ENSMMUG00000012019		ENSG00000228049	POLR2J2	81.68	1
ENSMMUG00000012019		ENSG00000285437	POLR2J3	77.93	1
ENSMMUG00000003488	C5H4orf45	ENSG00000164123	C4orf45	100.00	1
ENSMMUG00000053732					
ENSMMUG00000037625		ENSG00000070087	PFN2	0.00	0
ENSMMUG00000054799					
ENSMMUG00000052689	Metazoa_SRP				
ENSMMUG00000059097					
ENSMMUG00000009347					
ENSMMUG00000005782	EPHX1	ENSG00000143819	EPHX1	100.00	1
ENSMMUG00000035464	U6	ENSG00000238697	RNU6-261P	100.00	1
ENSMMUG00000064721					
ENSMMUG00000063857	RHOH	ENSG00000168421	RHOH	100.00	1
ENSMMUG00000012334	ACTRT2	ENSG00000169717	ACTRT2	100.00	1
ENSMMUG00000048996	SNORD39	ENSG00000274535	SNORD39	100.00	1
ENSMMUG00000063995	U6	ENSG00000222652	RNU6-248P	100.00	1
ENSMMUG00000017823	RSBN1	ENSG00000081019	RSBN1	100.00	1
ENSMMUG00000052287					
ENSMMUG00000062275	U6				
ENSMMUG00000006701	GSAP	ENSG00000186088	GSAP	100.00	1
ENSMMUG00000050761					
ENSMMUG00000058719					
ENSMMUG00000022941	SLC22A7	ENSG00000137204	SLC22A7	100.00	1
ENSMMUG00000057961					
ENSMMUG00000023789	KLHL31	ENSG00000124743	KLHL31	100.00	1
ENSMMUG00000064878					
ENSMMUG00000062569	Metazoa_SRP				
ENSMMUG00000063323	Metazoa_SRP				
ENSMMUG00000006286	TRA2A	ENSG00000164548	TRA2A	100.00	1
ENSMMUG00000044628					
ENSMMUG00000046089					
ENSMMUG00000059315	Metazoa_SRP				
ENSMMUG00000042299	DENND2A	ENSG00000146966	DENND2A	100.00	1
ENSMMUG00000057566	Metazoa_SRP				
ENSMMUG00000030358	CHRNA9	ENSG00000174343	CHRNA9	100.00	1
ENSMMUG00000051385		ENSG00000253291	TRBV7-7	0.00	0
ENSMMUG00000051385		ENSG00000211727	TRBV7-6	0.00	0
ENSMMUG00000063241					
ENSMMUG00000060361	Metazoa_SRP				
ENSMMUG00000047526					
ENSMMUG00000063617					
ENSMMUG00000018573	KHDC1L	ENSG00000256980	KHDC1L	100.00	1
ENSMMUG00000022485	PPP1R17	ENSG00000106341	PPP1R17	100.00	1
ENSMMUG00000058068	Metazoa_SRP				
ENSMMUG00000044424	Metazoa_SRP	ENSG00000241992	RN7SL831P	100.00	1
ENSMMUG00000030384		ENSG00000105808	RASA4	100.00	1
ENSMMUG00000030384		ENSG00000170667	RASA4B	100.00	1
ENSMMUG00000036673	U7	ENSG00000252275	RNU7-192P	100.00	1
ENSMMUG00000054851					
ENSMMUG00000062260					
ENSMMUG00000040680					
ENSMMUG00000053909					
ENSMMUG00000025751	U1	ENSG00000200800	RNU1-130P	100.00	1
ENSMMUG00000008684	GCLC	ENSG00000001084	GCLC	100.00	1
ENSMMUG00000054471	IMPG1	ENSG00000112706	IMPG1	100.00	1
ENSMMUG00000063219					
ENSMMUG00000022107	PDE9A	ENSG00000160191	PDE9A	100.00	1
ENSMMUG00000005785	TMEM63A	ENSG00000196187	TMEM63A	100.00	1
ENSMMUG00000036851	U7	ENSG00000239010	RNU7-74P	100.00	1
ENSMMUG00000062082					
ENSMMUG00000052574					
ENSMMUG00000017819	PHTF1	ENSG00000116793	PHTF1	100.00	1
ENSMMUG00000050984					
ENSMMUG00000019445	KPNA7	ENSG00000185467	KPNA7	100.00	1
ENSMMUG00000017322	TTBK1	ENSG00000146216	TTBK1	100.00	1
ENSMMUG00000054396		ENSG00000253188	TRBV6-7	0.00	1
ENSMMUG00000043151	Y_RNA	ENSG00000200847	Y_RNA	100.00	1
ENSMMUG00000018184	NAA15	ENSG00000164134	NAA15	100.00	1
ENSMMUG00000061255		ENSG00000211728	TRBV5-6	0.00	0
ENSMMUG00000056703					
ENSMMUG00000049297					
ENSMMUG00000055125	U6	ENSG00000200683	RNU6-379P	100.00	1
ENSMMUG00000061067					
ENSMMUG00000022484	ITPRID1	ENSG00000180347	ITPRID1	100.00	1
ENSMMUG00000036390					
ENSMMUG00000050927	Metazoa_SRP				
ENSMMUG00000038198	Metazoa_SRP	ENSG00000273979	Metazoa_SRP	100.00	1
ENSMMUG00000035757	mml-mir-762-1				
ENSMMUG00000012203	AHR	ENSG00000106546	AHR	100.00	1
ENSMMUG00000063417					
ENSMMUG00000061121	Y_RNA	ENSG00000200040	Y_RNA	100.00	1
ENSMMUG00000049767		ENSG00000211731	TRBV5-7	0.00	0
ENSMMUG00000049767		ENSG00000211725	TRBV5-5	100.00	1
ENSMMUG00000040113	MFAP3L	ENSG00000198948	MFAP3L	100.00	1
ENSMMUG00000012036	RBM47	ENSG00000163694	RBM47	100.00	1
ENSMMUG00000050661					
ENSMMUG00000058291		ENSG00000253188	TRBV6-7	100.00	1
ENSMMUG00000060026					
ENSMMUG00000003867		ENSG00000231500	RPS18	100.00	1
ENSMMUG00000004839	IGF2BP3	ENSG00000136231	IGF2BP3	100.00	1
ENSMMUG00000048246		ENSG00000253188	TRBV6-7	0.00	0
ENSMMUG00000047563	IQCM	ENSG00000234828	IQCM	100.00	1
ENSMMUG00000010581	RAPGEF2	ENSG00000109756	RAPGEF2	100.00	1
ENSMMUG00000055809					
ENSMMUG00000064018		ENSG00000211728	TRBV5-6	0.00	0
ENSMMUG00000025101	Y_RNA	ENSG00000201354	Y_RNA	100.00	1
ENSMMUG00000056284	Metazoa_SRP				
ENSMMUG00000022699	NEUROD6	ENSG00000164600	NEUROD6	100.00	1
ENSMMUG00000057494	TRBV7-9	ENSG00000278030	TRBV7-9	100.00	1
ENSMMUG00000035725	U6				
ENSMMUG00000053608		ENSG00000174444	RPL4	0.00	0
ENSMMUG00000017649	E2F3	ENSG00000112242	E2F3	100.00	1
ENSMMUG00000048577	Metazoa_SRP	ENSG00000240173	RN7SL771P	100.00	1
ENSMMUG00000050757	ISG15	ENSG00000187608	ISG15	100.00	1
ENSMMUG00000054505					
ENSMMUG00000015516	MTERF1	ENSG00000127989	MTERF1	100.00	1
ENSMMUG00000024348	U6	ENSG00000207121	RNU6-1230P	100.00	1
ENSMMUG00000055370	TRBV10-3	ENSG00000275791	TRBV10-3	100.00	1
ENSMMUG00000056198	MYOCOS	ENSG00000283683	MYOCOS	100.00	1
ENSMMUG00000011434	PYCR2	ENSG00000243709	LEFTY1	100.00	1
ENSMMUG00000011434	PYCR2	ENSG00000143768	LEFTY2	100.00	1
ENSMMUG00000013990	DNPH1	ENSG00000112667	DNPH1	100.00	1
ENSMMUG00000059030					
ENSMMUG00000058395	ZBTB41	ENSG00000177888	ZBTB41	100.00	1
ENSMMUG00000030357		ENSG00000115946	PNO1	0.00	0
ENSMMUG00000037037	U7	ENSG00000252590	RNU7-143P	100.00	1
ENSMMUG00000062211		ENSG00000276953	TRBV12-4	100.00	1
ENSMMUG00000062211		ENSG00000274752	TRBV12-3	100.00	1
ENSMMUG00000057993		ENSG00000284981	UPK3BL2	100.00	1
ENSMMUG00000057993		ENSG00000267368	UPK3BL1	100.00	1
ENSMMUG00000006309	UNC5C	ENSG00000182168	UNC5C	100.00	1
ENSMMUG00000007399	CHAF1B	ENSG00000159259	CHAF1B	100.00	1
ENSMMUG00000033015	SNORD65C	ENSG00000212264	SNORD65C	100.00	1
ENSMMUG00000001817	HES4	ENSG00000188290	HES4	100.00	1
ENSMMUG00000013649	MYOC	ENSG00000034971	MYOC	100.00	1
ENSMMUG00000003863	RING1	ENSG00000204227	RING1	100.00	1
ENSMMUG00000012561	NSUN7	ENSG00000179299	NSUN7	100.00	1
ENSMMUG00000059948					
ENSMMUG00000055612	TRBV12-5	ENSG00000275158	TRBV12-5	100.00	1
ENSMMUG00000005032	MYO6	ENSG00000196586	MYO6	100.00	1
ENSMMUG00000061041	MALSU1	ENSG00000156928	MALSU1	100.00	1
ENSMMUG00000027369	U6	ENSG00000222431	RNU6-141P	100.00	1
ENSMMUG00000004758	TLCD4	ENSG00000122481	RWDD3	100.00	1
ENSMMUG00000006422	ELOVL5	ENSG00000012660	ELOVL5	100.00	1
ENSMMUG00000041361	Metazoa_SRP	ENSG00000240869	RN7SL128P	100.00	1
ENSMMUG00000002948	USP19	ENSG00000172046	USP19	100.00	1
ENSMMUG00000050269	TRBV14	ENSG00000275743	TRBV14	100.00	1
ENSMMUG00000015282	ADCK2	ENSG00000133597	ADCK2	100.00	1
ENSMMUG00000058360					
ENSMMUG00000022114					
ENSMMUG00000057838	TRBV15	ENSG00000276819	TRBV15	100.00	1
ENSMMUG00000055405					
ENSMMUG00000047349	UPK3B	ENSG00000243566	UPK3B	100.00	1
ENSMMUG00000051122	TRBV16	ENSG00000275243	TRBV16	100.00	1
ENSMMUG00000058965	U6	ENSG00000206896	RNU6-1124P	0.00	0
ENSMMUG00000062235	U3				
ENSMMUG00000023203	VAMP4	ENSG00000117533	VAMP4	100.00	1
ENSMMUG00000005299	ADCYAP1R1	ENSG00000078549	ADCYAP1R1	100.00	1
ENSMMUG00000043894					
ENSMMUG00000004800	SLMAP	ENSG00000163681	SLMAP	100.00	1
ENSMMUG00000055206	Y_RNA	ENSG00000207368	Y_RNA	100.00	1
ENSMMUG00000047885	TRBV19	ENSG00000211746	TRBV19	100.00	1
ENSMMUG00000012322	CRB1	ENSG00000134376	CRB1	100.00	1
ENSMMUG00000063476	Metazoa_SRP	ENSG00000264530	RN7SL25P	0.00	0
ENSMMUG00000053816	TRBV23-1	ENSG00000211749	TRBV23-1	100.00	1
ENSMMUG00000026909	mml-mir-219-1				
ENSMMUG00000031775					
ENSMMUG00000013091	XXYLT1	ENSG00000173950	XXYLT1	100.00	1
ENSMMUG00000060028	TRBV24-1	ENSG00000211750	TRBV24-1	100.00	1
ENSMMUG00000051849					
ENSMMUG00000012648	GPNMB	ENSG00000136235	GPNMB	100.00	1
ENSMMUG00000057650					
ENSMMUG00000008392	HTT	ENSG00000197386	HTT	99.56	1
ENSMMUG00000015284	NDUFB2	ENSG00000090266	NDUFB2	100.00	1
ENSMMUG00000059234		ENSG00000282499	TRBV25-1	100.00	0
ENSMMUG00000040188	Metazoa_SRP	ENSG00000244314	RN7SL36P	100.00	1
ENSMMUG00000035909					
ENSMMUG00000011435		ENSG00000243709	LEFTY1	100.00	1
ENSMMUG00000011435		ENSG00000143768	LEFTY2	100.00	1
ENSMMUG00000016017	AGR3	ENSG00000173467	AGR3	100.00	1
ENSMMUG00000062393	TRBV27	ENSG00000211752	TRBV27	100.00	1
ENSMMUG00000003859	SLC39A7	ENSG00000112473	SLC39A7	100.00	1
ENSMMUG00000052745	Metazoa_SRP				
ENSMMUG00000056097					
ENSMMUG00000007470	CDK14	ENSG00000058091	CDK14	100.00	1
ENSMMUG00000062258	TRBV28	ENSG00000211753	TRBV28	100.00	1
ENSMMUG00000054273	U1	ENSG00000206908	RNU1-136P	100.00	1
ENSMMUG00000014537	BSN	ENSG00000164061	BSN	100.00	1
ENSMMUG00000021359	PDHA2	ENSG00000163114	PDHA2	100.00	1
ENSMMUG00000064823	TRBV29-1	ENSG00000232869	TRBV29-1	100.00	1
ENSMMUG00000042699	SDE2	ENSG00000143751	SDE2	100.00	1
ENSMMUG00000017817	MAGI3	ENSG00000081026	MAGI3	100.00	1
ENSMMUG00000017050	AGR2	ENSG00000106541	AGR2	100.00	1
ENSMMUG00000007266	METTL13	ENSG00000010165	METTL13	100.00	1
ENSMMUG00000059742					
ENSMMUG00000020043	MORC3	ENSG00000159256	MORC3	100.00	1
ENSMMUG00000035422	U6	ENSG00000200622	RNU6-1059P	100.00	1
ENSMMUG00000022697	STEAP4	ENSG00000127954	STEAP4	100.00	1
ENSMMUG00000053756					
ENSMMUG00000036716	U6	ENSG00000253026	RNU6-464P	100.00	1
ENSMMUG00000052675					
ENSMMUG00000005434	CUL9	ENSG00000112659	CUL9	100.00	1
ENSMMUG00000043479					
ENSMMUG00000016286	PRSS1				
ENSMMUG00000022083	GCM1	ENSG00000137270	GCM1	100.00	1
ENSMMUG00000051608					
ENSMMUG00000017049	TSPAN13	ENSG00000106537	TSPAN13	100.00	1
ENSMMUG00000059079					
ENSMMUG00000017570	DTX2	ENSG00000091073	DTX2	100.00	1
ENSMMUG00000055584	H3-3A	ENSG00000163041	H3-3A	100.00	1
ENSMMUG00000013962	DENND1B	ENSG00000213047	DENND1B	100.00	1
ENSMMUG00000064831	U3				
ENSMMUG00000064186					
ENSMMUG00000004300	NCAM2	ENSG00000154654	NCAM2	100.00	1
ENSMMUG00000063012					
ENSMMUG00000003861	HSD17B8	ENSG00000204228	HSD17B8	100.00	1
ENSMMUG00000022696	SRI	ENSG00000075142	SRI	100.00	1
ENSMMUG00000059492					
ENSMMUG00000010708	LSG1	ENSG00000041802	LSG1	100.00	1
ENSMMUG00000042793	BRAF	ENSG00000157764	BRAF	100.00	1
ENSMMUG00000056627					
ENSMMUG00000019058	ACBD3	ENSG00000182827	ACBD3	100.00	1
ENSMMUG00000015320	KCNQ5	ENSG00000185760	KCNQ5	100.00	1
ENSMMUG00000052519	PRSS2	ENSG00000275896	PRSS2	100.00	1
ENSMMUG00000064876					
ENSMMUG00000003858	RXRB	ENSG00000204231	RXRB	100.00	1
ENSMMUG00000017045	BZW2	ENSG00000136261	BZW2	100.00	1
ENSMMUG00000013502	STPG2	ENSG00000163116	STPG2	100.00	1
ENSMMUG00000012563	APBB2	ENSG00000163697	APBB2	100.00	1
ENSMMUG00000060488					
ENSMMUG00000063956					
ENSMMUG00000002952	LAMB2	ENSG00000172037	LAMB2	100.00	1
ENSMMUG00000003637	ZP3	ENSG00000188372	ZP3	100.00	1
ENSMMUG00000003637	ZP3	ENSG00000146707	POMZP3	63.46	0
ENSMMUG00000005129	MIXL1	ENSG00000185155	MIXL1	100.00	1
ENSMMUG00000048263	GSX2	ENSG00000180613	GSX2	100.00	1
ENSMMUG00000046388					
ENSMMUG00000057740	Y_RNA	ENSG00000202441	RNY4P10	100.00	1
ENSMMUG00000060919	U3				
ENSMMUG00000027981	U6				
ENSMMUG00000064681					
ENSMMUG00000011764	GHRHR	ENSG00000106128	GHRHR	100.00	1
ENSMMUG00000063357	Y_RNA				
ENSMMUG00000055205	U3				
ENSMMUG00000001560	NUP42	ENSG00000136243	NUP42	100.00	1
ENSMMUG00000001690	CNN3	ENSG00000117519	CNN3	94.08	1
ENSMMUG00000062408					
ENSMMUG00000006696	CCDC146	ENSG00000135205	CCDC146	100.00	1
ENSMMUG00000050730	CHIC2	ENSG00000109220	CHIC2	100.00	1
ENSMMUG00000054333					
ENSMMUG00000054370	Metazoa_SRP				
ENSMMUG00000010852	ACTL8	ENSG00000117148	ACTL8	100.00	1
ENSMMUG00000053881					
ENSMMUG00000023657	CLDN12	ENSG00000157224	CLDN12	100.00	1
ENSMMUG00000019098	LRIG2	ENSG00000198799	LRIG2	100.00	1
ENSMMUG00000016014	LIN9	ENSG00000183814	LIN9	100.00	1
ENSMMUG00000057349					
ENSMMUG00000014540	APEH	ENSG00000164062	APEH	100.00	1
ENSMMUG00000046720	Metazoa_SRP				
ENSMMUG00000064238					
ENSMMUG00000063778	SSC4D	ENSG00000146700	SSC4D	100.00	1
ENSMMUG00000064386					
ENSMMUG00000056921					
ENSMMUG00000026795	Y_RNA				
ENSMMUG00000059490					
ENSMMUG00000063292	Metazoa_SRP				
ENSMMUG00000023656	GTPBP10	ENSG00000105793	GTPBP10	100.00	1
ENSMMUG00000064107					
ENSMMUG00000020692	RAB33B	ENSG00000172007	RAB33B	100.00	1
ENSMMUG00000057068					
ENSMMUG00000005340	FBXO9	ENSG00000112146	FBXO9	100.00	1
ENSMMUG00000061581					
ENSMMUG00000057992					
ENSMMUG00000058269	YWHAG	ENSG00000170027	YWHAG	100.00	1
ENSMMUG00000050685					
ENSMMUG00000003128	LIMK1	ENSG00000106683	LIMK1	100.00	1
ENSMMUG00000030042					
ENSMMUG00000055568	FGL2	ENSG00000127951	FGL2	100.00	1
ENSMMUG00000040388	MIR4282	ENSG00000266180	MIR4282	100.00	1
ENSMMUG00000051032	PRSS2				
ENSMMUG00000017041	ANKMY2	ENSG00000106524	ANKMY2	100.00	1
ENSMMUG00000056744	HSPB1	ENSG00000106211	HSPB1	100.00	1
ENSMMUG00000062116					
ENSMMUG00000057113	MST1	ENSG00000173531	MST1	100.00	1
ENSMMUG00000004491	SENP6	ENSG00000112701	SENP6	100.00	1
ENSMMUG00000022417	RAP1GDS1	ENSG00000138698	RAP1GDS1	100.00	1
ENSMMUG00000063355					
ENSMMUG00000059620	Metazoa_SRP				
ENSMMUG00000023654	CFAP69	ENSG00000105792	CFAP69	100.00	1
ENSMMUG00000037761	FAM185A	ENSG00000222011	FAM185A	100.00	1
ENSMMUG00000017401	LNX1	ENSG00000072201	LNX1	100.00	1
ENSMMUG00000001562	KLHL7	ENSG00000122550	KLHL7	100.00	1
ENSMMUG00000052682					
ENSMMUG00000001841	SETD7	ENSG00000145391	SETD7	100.00	1
ENSMMUG00000057211	Metazoa_SRP				
ENSMMUG00000059019		ENSG00000211772	TRBC2	100.00	1
ENSMMUG00000059019		ENSG00000211751	TRBC1	100.00	1
ENSMMUG00000064630					
ENSMMUG00000053344	SPSB4	ENSG00000175093	SPSB4	100.00	1
ENSMMUG00000058459					
ENSMMUG00000055032					
ENSMMUG00000046728	SRRM3	ENSG00000177679	SRRM3	100.00	1
ENSMMUG00000006171	SLC16A1	ENSG00000155380	SLC16A1	100.00	1
ENSMMUG00000010706	TMEM44	ENSG00000145014	TMEM44	100.00	1
ENSMMUG00000011761	MINDY4	ENSG00000106125	MINDY4	100.00	1
ENSMMUG00000058127	Metazoa_SRP				
ENSMMUG00000022695	ADAM22	ENSG00000008277	ADAM22	100.00	1
ENSMMUG00000060916	Metazoa_SRP				
ENSMMUG00000002836	CCDC71	ENSG00000177352	CCDC71	100.00	1
ENSMMUG00000014564	RNF123	ENSG00000164068	RNF123	100.00	1
ENSMMUG00000062345	Metazoa_SRP				
ENSMMUG00000021820	PARP1	ENSG00000143799	PARP1	100.00	1
ENSMMUG00000056912	FAM237B	ENSG00000283267	FAM237B	100.00	1
ENSMMUG00000049759	U2				
ENSMMUG00000001686	SLC44A3	ENSG00000143036	SLC44A3	100.00	1
ENSMMUG00000009033	FSTL5	ENSG00000168843	FSTL5	100.00	1
ENSMMUG00000007273	DNM3	ENSG00000197959	DNM3	100.00	1
ENSMMUG00000051073					
ENSMMUG00000023653	STEAP2	ENSG00000157214	STEAP2	100.00	1
ENSMMUG00000006205	EIF4H	ENSG00000106682	EIF4H	100.00	1
ENSMMUG00000052360	Metazoa_SRP				
ENSMMUG00000043482	LRRC72	ENSG00000205858	LRRC72	100.00	1
ENSMMUG00000009917	MDH2	ENSG00000146701	MDH2	100.00	1
ENSMMUG00000002833	KLHDC8B	ENSG00000185909	KLHDC8B	100.00	1
ENSMMUG00000057278					
ENSMMUG00000058665	TAFA3	ENSG00000184599	TAFA3	100.00	1
ENSMMUG00000011702	TSPAN5	ENSG00000168785	TSPAN5	100.00	1
ENSMMUG00000011602		ENSG00000164647	STEAP1	100.00	1
ENSMMUG00000011602		ENSG00000105889	STEAP1B	89.79	1
ENSMMUG00000010849	ARHGEF10L	ENSG00000074964	ARHGEF10L	100.00	1
ENSMMUG00000012427	FBXL13	ENSG00000161040	FBXL13	100.00	1
ENSMMUG00000016817	SOSTDC1	ENSG00000171243	SOSTDC1	100.00	1
ENSMMUG00000064085	INMT	ENSG00000241644	INMT	100.00	1
ENSMMUG00000058690					
ENSMMUG00000027207	mml-mir-590	ENSG00000207741	MIR590	100.00	1
ENSMMUG00000053221					
ENSMMUG00000028411	U6				
ENSMMUG00000049975					
ENSMMUG00000059928					
ENSMMUG00000036741	U6	ENSG00000252643	RNU6-1136P	100.00	1
